FontID,Designer,FontName
d7c0c5e7-ca4d-4416-9e83-5a17693f42c6,[郑庆科,郑庆科智雅体
2bb34840-052f-4455-bb61-c641b2e24289,Aa字库,Aa风情万种小草莓
6566f6fd-be81-4604-804c-d11a4f705a78,Aa字库,Aa蓝颜不情人
d3ec49c3-3353-42ad-81ba-180d39fa6b5e,Aa字库,Aa生日派对
c768014b-90ec-4763-be01-13948118d81f,hhy,方正行黑
18d3934f-09f8-431d-a33f-b5d77fbe0af5,Lin Han,缅甸傣族字ZG
829080a5-87f6-4cfc-b84b-e86044a71dac,Lirika,维吾尔 UKIJ Tuz Tom
08680469-4f9d-47c5-bc5f-0e172ffe3bf3,Menzil,维吾尔 UKIJ Ekran
e775380c-a2f5-470f-9f37-f5feb0065c56,Moethittnyo,缅甸字体
8c71203c-745e-44a0-a339-e5d32c73453f,momo,枯藤禅意体
d1bba6e6-8fbf-42a7-9c1d-a321560b58c1,MyanMi 4,NamKhone 2016
06b9872f-7dfb-4d79-a131-6c33dcd990f8,xxx,喜马拉雅藏文字体
c00ec61b-dbba-4e54-a751-8e92d05e98e4,本墨,本墨锋悦变体
8745f8a4-1d63-440f-8aed-e39d8198b674,本墨,本墨剪字
099cfda7-a4de-411a-a088-82bfcb53d6e6,伯乐字库,2B铅笔体
d52955b1-203f-4728-9cdd-b1da514ee0af,伯乐字库,建刚彤彤体
7b54d18a-ed98-42c3-9ad6-0c3b94ed4589,伯乐字库,刘梦吟书法行楷
f28d4514-f7ea-4fe0-999f-d44a4bae0566,伯乐字库,运和炫丽体
25943d1b-8870-4b6e-a417-6c5cf7059509,逗比的鱼,情书体
1682bf22-556a-487e-b819-9ebfeb96e9c7,方正字库,彼岸体
a6b08445-e82e-4968-b53a-c0e394ba1dce,方正字库,方正仿宋体
af2f379a-1d72-4120-8907-5c7eb4fbc40b,方正字库,方正隶变体
85147050-f80f-4eb2-82f8-32887113d9d4,方正字库,方正隶书体
4413dca9-c185-4ff1-8ae3-554674b3ad0a,方正字库,方正流年赋拼音体
2d5fbfce-9ec3-4283-b0fc-2a4017767b8a,方正字库,方正宋三体
d7cbc6e8-4556-419b-b0c4-a821b2411547,方正字库,流星花园体
2467107d-9504-4ea2-b4d0-8d7212e550fe,方正字库,莫愁楷书
239c1278-fb00-421b-b239-c35b2bdc94e8,方正字库,思念体
f4c504b2-15c7-4d18-9f7a-c93328283de9,方正字库,文竹体
c22385a3-9771-4d37-8d69-971b498299be,方正字库,夏目手帐体
0cbee5e2-5b6f-48c4-a7a8-e1ede0c46ec3,方正字库,现世安稳体
d5824ee4-b1f7-4d63-b6e5-76b84e55da57,方正字库,宅女日记
5a817315-905d-4e63-b180-de723f1e3973,肥鱼,飞鱼胖胖体
14ed3434-78ad-4b19-87b5-b69745816d39,格斯,萌呱物语
28a663b6-7152-4988-bf5b-bf29b0cf8481,汉仪字库,汉仪楷体
90ad7b0b-a71d-403b-9c07-79f0130fa163,汉仪字库,汉仪旗黑45
3a7992b0-c407-484e-9095-87ca248897ec,汉仪字库,汉仪行者笔记简
8a97123a-8e1a-4942-8ce5-743d757908f7,汉仪字库,清爽立夏体
7b529ab9-e3fd-4fee-a9d1-e0773a9cc847,汉仪字库,又是一年恋爱季
2eda8220-3853-43e0-8ed8-ac279df73d0f,居来提,维，哈，柯字体
f3b42546-2b13-4174-ab52-2e97be715117,李旭科,老报刊字体
4d13082f-c93e-4ce4-b01f-5286902004d7,李旭科,李旭科漫画体
8247d3bd-fc64-41fd-babf-84b1348f4590,李旭科,李旭科毛笔行书
f1eadc58-71d4-4e60-a201-8ed2339271f4,李旭科,李旭科书法
1be075a0-cb43-4cc1-aff5-827004b829fb,李旭科,学生时代字体
da75a9fb-11d3-4209-8398-ff88b45d1d1b,李旭科,圆艺体
c3b1edc0-2bb8-49ac-9283-e24780d09d94,孟莉,◎趣缘肥猫
47bfdee7-3af8-4c26-abc2-1d68224d46fd,神韵字库,精致拼音体
2fb0c5f0-81c8-441a-8cfc-c2523445618c,神韵字库,神韵槐树体
59e97921-1dd0-4184-a903-6104b58835a9,神韵字库,神韵少年体
b29f75e7-c257-485b-92c5-9e2ee6be3980,神韵字库,神韵帅气男生
9602e701-56f6-4413-87f9-dce009ff8933,神韵字库,神韵唐楷
eb839be1-c542-4377-abec-85a6c0a7ae41,神韵字库,随性拼音体
a9763f00-dd35-4569-93bc-b2409421cf59,思雨字库,静雅简行楷
0b7e00b0-e571-4ffa-8698-68101d423ace,思雨字库,小宝手写简楷体
de2d36f1-63e2-449a-9137-0064d364ea0a,徐南南,字悦宋刻本字体
1f60775f-99d5-4036-bc33-a89d81faf563,义启字库,义启飞猪体
c02d5785-c91e-42dc-860b-8a84aa3b202a,郑庆科,小可黄油体
08a7b1dd-66c1-4ef8-ad9e-76757a39b31f,郑庆科,郑庆科建黑体
3b213089-cd0c-446a-a488-728ebf0c67bd,郑庆科,郑庆科晴暖体
c029d7e0-7b98-4005-bb51-633291cf2a7d,郑庆科,郑庆科智雅体
907b4e79-99b1-47a0-a116-d1a1603221aa,字咖,Aa被雨淋湿的信
145f5032-9dfa-43ca-891c-233314514fa9,字咖,白羊座
46f3374c-2ba2-41a5-9fdc-1876219bafe8,字咖,宝贝喝奶奶
e23c07d8-21ae-4a54-a6f5-260c5bae27f3,字咖,奔跑吧电影
333440c7-e5b6-4ce6-a64d-df16fd7c4078,字咖,悠然粉可爱
d4132f60-3a88-4627-ab60-e0140d8781b8,字咖工作室,射手座体
